""	"Fgutabs"	"k_a"	"k_e"	"V_dist"
1	0.917	1.2354	0.2324	32.2704
1	0.821	1.2254	0.238	33.4704
1	0.725	1.2154	0.2436	34.6704
1	0.629	1.2054	0.2492	35.8704
1	0.667	1.1954	0.2548	37.0704
1	0.763	1.1854	0.2604	38.2704
1	0.859	1.1754	0.266	39.4704
1	0.955	1.1654	0.2716	40.6704
1	0.949	1.1554	0.2772	41.8704
1	0.853	1.1454	0.2828	43.0704
1	0.757	1.1354	0.2884	44.2704
1	0.661	1.1254	0.294	45.4704
1	0.635	1.1154	0.2996	46.6704
1	0.731	1.1054	0.2948	47.8704
1	0.827	1.0954	0.2892	49.0704
1	0.923	1.0854	0.2836	50.2704
1	0.981	1.0754	0.278	51.4704
1	0.885	1.0654	0.2724	52.6704
1	0.789	1.0554	0.2668	53.8704
1	0.693	1.0454	0.2612	55.0704
1	0.603	1.0354	0.2556	56.2704
1	0.699	1.0254	0.25	57.4704
1	0.795	1.0154	0.2444	58.6704
1	0.891	1.0054	0.2388	59.8704
1	0.987	0.9954	0.2332	58.9296
1	0.917	0.9854	0.2276	57.7296
1	0.821	0.9754	0.222	56.5296
1	0.725	0.9654	0.2164	55.3296
1	0.629	0.9554	0.2108	54.1296
1	0.667	0.9454	0.2052	52.9296
1	0.763	0.9354	0.1996	51.7296
1	0.859	0.9254	0.194	50.5296
1	0.955	0.9154	0.1884	49.3296
1	0.949	0.9054	0.1828	48.1296
1	0.853	0.8954	0.1772	46.9296
1	0.757	0.8854	0.1716	45.7296
1	0.661	0.8754	0.166	44.5296
1	0.635	0.8654	0.1604	43.3296
1	0.731	0.8554	0.1548	42.1296
1	0.827	0.8454	0.1492	40.9296
1	0.923	0.8354	0.1436	39.7296
1	0.981	0.8254	0.138	38.5296
1	0.885	0.8154	0.1324	37.3296
1	0.789	0.8054	0.1268	36.1296
1	0.693	0.7954	0.1212	34.9296
1	0.603	0.7854	0.1156	33.7296
1	0.699	0.7754	0.11	32.5296
1	0.795	0.7654	0.1044	31.3296
1	0.6887	0.7194	0.1653	58.604
1	0.6927	0.5206	0.1709	59.804
1	0.6967	0.7606	0.1765	58.996
1	0.7007	1.0006	0.1821	57.796
1	0.7047	1.2406	0.1877	56.596
1	0.7087	1.4806	0.1933	55.396
1	0.7127	1.2794	0.1989	54.196
1	0.7167	1.0394	0.2045	52.996
1	0.7207	0.7994	0.2101	51.796
1	0.7247	0.5594	0.2157	50.596
1	0.7287	0.6806	0.2213	49.396
1	0.7327	0.9206	0.2269	48.196
1	0.7367	1.1606	0.2325	46.996
1	0.7407	1.4006	0.2381	45.796
1	0.7447	1.3594	0.2437	44.596
1	0.7487	1.1194	0.2493	43.396
1	0.7527	0.8794	0.2549	42.196
1	0.7567	0.6394	0.2605	40.996
1	0.7607	0.6006	0.2661	39.796
1	0.7647	0.8406	0.2717	38.596
1	0.7687	1.0806	0.2773	37.396
