""	"Fgutabs"	"k_a"	"k_e"	"V_dist"
1	0.9801	0.7237	0.1336	28.3
1	0.9761	0.7437	0.1252	37.9
1	0.9721	0.7637	0.1168	47.5
1	0.9681	0.7837	0.1084	57.1
1	0.9641	0.8037	0.1	53.3
1	0.9601	0.8237	0.0916	43.7
1	0.9561	0.8437	0.0832	34.1
1	0.9521	0.8637	0.0748	24.5
1	0.9481	0.8837	0.0664	25.1
1	0.9441	0.9037	0.058	34.7
1	0.9401	0.9237	0.0496	44.3
1	0.9361	0.9437	0.0412	53.9
1	0.9321	0.9637	0.0328	56.5
1	0.9281	0.9837	0.0244	46.9
1	0.9241	1.0037	0.024	37.3
1	0.9201	1.0237	0.0324	27.7
1	0.9161	1.0437	0.0408	21.9
1	0.9121	1.0637	0.0492	31.5
1	0.9081	1.0837	0.0576	41.1
1	0.9041	1.1037	0.066	50.7
1	0.9001	1.1237	0.0744	59.7
1	0.8961	1.1437	0.0828	50.1
1	0.8921	1.1637	0.0912	40.5
1	0.8881	1.1837	0.0996	30.9
1	0.8841	1.2037	0.108	21.3
1	0.8801	1.2237	0.1164	28.3
1	0.8761	1.2437	0.1248	37.9
1	0.8721	1.2637	0.1332	47.5
1	0.8681	1.2837	0.1416	57.1
1	0.8641	1.3037	0.15	53.3
1	0.8601	1.3237	0.1584	43.7
1	0.8561	1.3437	0.1668	34.1
1	0.8521	1.3637	0.1752	24.5
1	0.8481	1.3837	0.1836	25.1
1	0.8441	1.4037	0.192	34.7
1	0.8401	1.4237	0.2004	44.3
1	0.8361	1.4437	0.2088	53.9
1	0.8321	1.4637	0.2172	56.5
1	0.8281	1.4837	0.2256	46.9
1	0.8241	1.4963	0.234	37.3
1	0.8201	1.4763	0.2424	27.7
1	0.8161	1.4563	0.2508	21.9
1	0.8121	1.4363	0.2592	31.5
1	0.8081	1.4163	0.2676	41.1
1	0.8041	1.3963	0.276	50.7
1	0.8001	1.3763	0.2844	59.7
1	0.7961	1.3563	0.2928	50.1
1	0.7921	1.3363	0.2988	40.5
1	0.7881	1.3163	0.2904	30.9
1	0.7841	1.2963	0.282	21.3
1	0.7801	1.2763	0.2736	28.3
1	0.7761	1.2563	0.2652	37.9
1	0.7721	1.2363	0.2568	47.5
1	0.7681	1.2163	0.2484	57.1
1	0.7641	1.1963	0.24	53.3
1	0.7601	1.1763	0.2316	43.7
1	0.7561	1.1563	0.2232	34.1
1	0.7521	1.1363	0.2148	24.5
1	0.7481	1.1163	0.2064	25.1
1	0.7441	1.0963	0.198	34.7
1	0.7401	1.0763	0.1896	44.3
1	0.7361	1.0563	0.1812	53.9
1	0.7321	1.0363	0.1728	56.5
1	0.7281	1.0163	0.1644	46.9
1	0.7241	0.9963	0.156	37.3
1	0.7201	0.9763	0.1476	27.7
1	0.7161	0.9563	0.1392	21.9
1	0.7121	0.9363	0.1308	31.5
1	0.7081	0.9163	0.1224	41.1
1	0.7041	0.8963	0.114	50.7
1	0.7001	0.8763	0.1056	59.7
1	0.6961	0.8563	0.0972	50.1
1	0.6921	0.8363	0.0888	40.5
1	0.6881	0.8163	0.0804	30.9
1	0.6841	0.7963	0.072	21.3
1	0.6801	0.7763	0.0636	28.3
1	0.6761	0.7563	0.0552	37.9
1	0.6721	0.7363	0.0468	47.5
1	0.6681	0.7163	0.0384	57.1
1	0.6641	0.6963	0.03	53.3
1	0.6601	0.6763	0.0216	43.7
1	0.6561	0.6563	0.0268	34.1
1	0.6521	0.6363	0.0352	24.5
1	0.6481	0.6163	0.0436	25.1
1	0.6441	0.5963	0.052	34.7
1	0.6401	0.5763	0.0604	44.3
1	0.6361	0.5563	0.0688	53.9
1	0.6321	0.5363	0.0772	56.5
1	0.6281	0.5163	0.0856	46.9
1	0.6241	0.5037	0.094	37.3
1	0.6201	0.5237	0.1024	27.7
1	0.6161	0.5437	0.1108	21.9
1	0.6121	0.5637	0.1192	31.5
1	0.6081	0.5837	0.1276	41.1
1	0.6041	0.6037	0.136	50.7
1	0.6001	0.6237	0.1444	59.7
1	0.6039	0.6437	0.1528	50.1
1	0.6079	0.6637	0.1612	40.5
1	0.6119	0.6837	0.1696	30.9
1	0.6159	0.7037	0.178	21.3
1	0.6199	0.7237	0.1864	28.3
1	0.6239	0.7437	0.1948	37.9
1	0.6279	0.7637	0.2032	47.5
1	0.6319	0.7837	0.2116	57.1
1	0.6359	0.8037	0.22	53.3
1	0.6399	0.8237	0.2284	43.7
1	0.6439	0.8437	0.2368	34.1
1	0.6479	0.8637	0.2452	24.5
1	0.6519	0.8837	0.2536	25.1
1	0.6559	0.9037	0.262	34.7
1	0.6599	0.9237	0.2704	44.3
1	0.6639	0.9437	0.2788	53.9
1	0.6679	0.9637	0.2872	56.5
1	0.6719	0.9837	0.2956	46.9
1	0.6759	1.0037	0.296	37.3
1	0.6799	1.0237	0.2876	27.7
1	0.6839	1.0437	0.2792	21.9
1	0.6879	1.0637	0.2708	31.5
1	0.9912	0.587	0.2675	39.3162
1	0.9128	0.577	0.2619	38.1162
1	0.8168	0.567	0.2563	36.9162
1	0.7208	0.557	0.2507	35.7162
1	0.6248	0.547	0.2451	34.5162
1	0.6712	0.537	0.2395	33.3162
1	0.7672	0.527	0.2339	32.1162
1	0.8632	0.517	0.2283	30.9162
1	0.9592	0.507	0.2227	29.7162
1	0.9448	0.503	0.2171	28.5162
1	0.8488	0.513	0.2115	27.3162
1	0.7528	0.523	0.2059	26.1162
1	0.6568	0.533	0.2003	24.9162
1	0.6392	0.543	0.1947	23.7162
1	0.7352	0.553	0.1891	22.5162
1	0.8312	0.563	0.1835	21.3162
1	0.9272	0.573	0.1779	20.1162
1	0.9768	0.583	0.1723	21.0838
1	0.8808	0.593	0.1667	22.2838
1	0.7848	0.603	0.1611	23.4838
1	0.6888	0.613	0.1555	24.6838
1	0.6072	0.623	0.1499	25.8838
1	0.7032	0.633	0.1443	27.0838
1	0.7992	0.643	0.1387	28.2838
1	0.8952	0.653	0.1331	29.4838
1	0.9912	0.663	0.1275	30.6838
1	0.9128	0.673	0.1219	31.8838
1	0.8168	0.683	0.1163	33.0838
1	0.7208	0.693	0.1107	34.2838
1	0.6248	0.703	0.1051	35.4838
1	0.6712	0.713	0.0995	36.6838
1	0.7672	0.723	0.0939	37.8838
1	0.8632	0.733	0.0883	39.0838
1	0.9592	0.743	0.0827	40.2838
1	0.9448	0.753	0.0771	41.4838
1	0.8488	0.763	0.0715	42.6838
1	0.7528	0.773	0.0659	43.8838
1	0.6568	0.783	0.0603	45.0838
1	0.6392	0.793	0.0547	46.2838
1	0.7352	0.803	0.0491	47.4838
1	0.8312	0.813	0.0435	48.6838
1	0.9272	0.823	0.0379	49.8838
1	0.9768	0.833	0.0323	51.0838
1	0.8808	0.843	0.0267	52.2838
1	0.7848	0.853	0.0211	53.4838
1	0.6888	0.863	0.0245	54.6838
1	0.6072	0.873	0.0301	55.8838
1	0.7032	0.883	0.0357	57.0838
1	0.7992	0.893	0.0413	58.2838
1	0.8952	0.903	0.0469	59.4838
1	0.9912	0.913	0.0525	59.3162
1	0.9128	0.923	0.0581	58.1162
1	0.8168	0.933	0.0637	56.9162
1	0.7208	0.943	0.0693	55.7162
1	0.6248	0.953	0.0749	54.5162
1	0.6712	0.963	0.0805	53.3162
1	0.7672	0.973	0.0861	52.1162
1	0.8632	0.983	0.0917	50.9162
1	0.9592	0.993	0.0973	49.7162
1	0.9448	1.003	0.1029	48.5162
1	0.8488	1.013	0.1085	47.3162
1	0.7528	1.023	0.1141	46.1162
1	0.6568	1.033	0.1197	44.9162
1	0.6392	1.043	0.1253	43.7162
1	0.7352	1.053	0.1309	42.5162
1	0.8312	1.063	0.1365	41.3162
1	0.9272	1.073	0.1421	40.1162
1	0.9768	1.083	0.1477	38.9162
1	0.8808	1.093	0.1533	37.7162
1	0.7848	1.103	0.1589	36.5162
1	0.6888	1.113	0.1645	35.3162
1	0.6072	1.123	0.1701	34.1162
1	0.7032	1.133	0.1757	32.9162
1	0.7992	1.143	0.1813	31.7162
1	0.8952	1.153	0.1869	30.5162
1	0.9912	1.163	0.1925	29.3162
1	0.9128	1.173	0.1981	28.1162
1	0.8168	1.183	0.2037	26.9162
1	0.7208	1.193	0.2093	25.7162
1	0.6248	1.203	0.2149	24.5162
1	0.6712	1.213	0.2205	23.3162
1	0.7672	1.223	0.2261	22.1162
1	0.8632	1.233	0.2317	20.9162
1	0.9592	1.243	0.2373	20.2838
1	0.9448	1.253	0.2429	21.4838
1	0.8488	1.263	0.2485	22.6838
1	0.7528	1.273	0.2541	23.8838
1	0.6568	1.283	0.2597	25.0838
1	0.6392	1.293	0.2653	26.2838
1	0.7352	1.303	0.2709	27.4838
1	0.8312	1.313	0.2765	28.6838
1	0.9272	1.323	0.2821	29.8838
1	0.9768	1.333	0.2877	31.0838
1	0.8808	1.343	0.2933	32.2838
1	0.7848	1.353	0.2989	33.4838
1	0.6888	1.363	0.2955	34.6838
1	0.6072	1.373	0.2899	35.8838
1	0.7032	1.383	0.2843	37.0838
1	0.7992	1.393	0.2787	38.2838
1	0.8952	1.403	0.2731	39.4838
1	0.9912	1.413	0.2675	40.6838
1	0.9128	1.423	0.2619	41.8838
1	0.8168	1.433	0.2563	43.0838
1	0.7208	1.443	0.2507	44.2838
1	0.6248	1.453	0.2451	45.4838
1	0.6712	1.463	0.2395	46.6838
1	0.7672	1.473	0.2339	47.8838
1	0.8632	1.483	0.2283	49.0838
1	0.9592	1.493	0.2227	50.2838
1	0.9448	1.497	0.2171	51.4838
1	0.8488	1.487	0.2115	52.6838
1	0.7528	1.477	0.2059	53.8838
1	0.6568	1.467	0.2003	55.0838
1	0.6392	1.457	0.1947	56.2838
1	0.7352	1.447	0.1891	57.4838
1	0.8312	1.437	0.1835	58.6838
1	0.9272	1.427	0.1779	59.8838
1	0.9768	1.417	0.1723	58.9162
1	0.8808	1.407	0.1667	57.7162
1	0.7848	1.397	0.1611	56.5162
1	0.6888	1.387	0.1555	55.3162
1	0.6072	1.377	0.1499	54.1162
1	0.7032	1.367	0.1443	52.9162
1	0.7992	1.357	0.1387	51.7162
1	0.8952	1.347	0.1331	50.5162
1	0.9912	1.337	0.1275	49.3162
1	0.9128	1.327	0.1219	48.1162
1	0.8168	1.317	0.1163	46.9162
1	0.7208	1.307	0.1107	45.7162
1	0.6248	1.297	0.1051	44.5162
1	0.6712	1.287	0.0995	43.3162
1	0.7672	1.277	0.0939	42.1162
1	0.8632	1.267	0.0883	40.9162
1	0.9592	1.257	0.0827	39.7162
1	0.9448	1.247	0.0771	38.5162
1	0.8488	1.237	0.0715	37.3162
1	0.7528	1.227	0.0659	36.1162
1	0.6568	1.217	0.0603	34.9162
1	0.6392	1.207	0.0547	33.7162
1	0.7352	1.197	0.0491	32.5162
1	0.8312	1.187	0.0435	31.3162
1	0.9272	1.177	0.0379	30.1162
1	0.9768	1.167	0.0323	28.9162
1	0.8808	1.157	0.0267	27.7162
1	0.7848	1.147	0.0211	26.5162
1	0.6888	1.137	0.0245	25.3162
1	0.6072	1.127	0.0301	24.1162
1	0.7032	1.117	0.0357	22.9162
1	0.7992	1.107	0.0413	21.7162
1	0.8952	1.097	0.0469	20.5162
1	0.9912	1.087	0.0525	20.6838
1	0.9128	1.077	0.0581	21.8838
1	0.8168	1.067	0.0637	23.0838
1	0.7208	1.057	0.0693	24.2838
1	0.6248	1.047	0.0749	25.4838
1	0.6712	1.037	0.0805	26.6838
1	0.7672	1.027	0.0861	27.8838
1	0.8632	1.017	0.0917	29.0838
1	0.9592	1.007	0.0973	30.2838
1	0.9448	0.997	0.1029	31.4838
1	0.8488	0.987	0.1085	32.6838
1	0.7528	0.977	0.1141	33.8838
1	0.6568	0.967	0.1197	35.0838
1	0.6392	0.957	0.1253	36.2838
1	0.7352	0.947	0.1309	37.4838
1	0.8312	0.937	0.1365	38.6838
1	0.9272	0.927	0.1421	39.8838
1	0.9768	0.917	0.1477	41.0838
1	0.8808	0.907	0.1533	42.2838
1	0.7848	0.897	0.1589	43.4838
1	0.6888	0.887	0.1645	44.6838
1	0.6072	0.877	0.1701	45.8838
1	0.7032	0.867	0.1757	47.0838
1	0.7992	0.857	0.1813	48.2838
1	0.8952	0.847	0.1869	49.4838
1	0.9912	0.837	0.1925	50.6838
1	0.9128	0.827	0.1981	51.8838
1	0.8168	0.817	0.2037	53.0838
1	0.7208	0.807	0.2093	54.2838
1	0.6248	0.797	0.2149	55.4838
1	0.6712	0.787	0.2205	56.6838
1	0.7672	0.777	0.2261	57.8838
1	0.8632	0.767	0.2317	59.0838
1	0.9592	0.757	0.2373	59.7162
1	0.9448	0.747	0.2429	58.5162
1	0.8488	0.737	0.2485	57.3162
1	0.7528	0.727	0.2541	56.1162
1	0.6568	0.717	0.2597	54.9162
1	0.6392	0.707	0.2653	53.7162
1	0.7352	0.697	0.2709	52.5162
1	0.8312	0.687	0.2765	51.3162
1	0.9272	0.677	0.2821	50.1162
1	0.9768	0.667	0.2877	48.9162
1	0.8808	0.657	0.2933	47.7162
1	0.7848	0.647	0.2989	46.5162
1	0.6888	0.637	0.2955	45.3162
1	0.6072	0.627	0.2899	44.1162
1	0.7032	0.617	0.2843	42.9162
1	0.7992	0.607	0.2787	41.7162
1	0.8952	0.597	0.2731	40.5162
1	0.8413	0.8709	0.228	31.4269
1	0.8453	0.6309	0.2336	32.6269
1	0.8493	0.6091	0.2392	33.8269
1	0.8533	0.8491	0.2448	35.0269
1	0.8573	1.0891	0.2504	36.2269
1	0.8613	1.3291	0.256	37.4269
1	0.8653	1.4309	0.2616	38.6269
1	0.8693	1.1909	0.2672	39.8269
1	0.8733	0.9509	0.2728	41.0269
1	0.8773	0.7109	0.2784	42.2269
1	0.8813	0.5291	0.284	43.4269
1	0.8853	0.7691	0.2896	44.6269
1	0.8893	1.0091	0.2952	45.8269
1	0.8933	1.2491	0.2992	47.0269
1	0.8973	1.4891	0.2936	48.2269
1	0.9013	1.2709	0.288	49.4269
1	0.9053	1.0309	0.2824	50.6269
1	0.9093	0.7909	0.2768	51.8269
1	0.9133	0.5509	0.2712	53.0269
1	0.9173	0.6891	0.2656	54.2269
1	0.9213	0.9291	0.26	55.4269
1	0.9253	1.1691	0.2544	56.6269
1	0.9293	1.4091	0.2488	57.8269
1	0.9333	1.3509	0.2432	59.0269
1	0.9373	1.1109	0.2376	59.7731
1	0.9413	0.8709	0.232	58.5731
1	0.9453	0.6309	0.2264	57.3731
1	0.9493	0.6091	0.2208	56.1731
1	0.9533	0.8491	0.2152	54.9731
1	0.9573	1.0891	0.2096	53.7731
1	0.9613	1.3291	0.204	52.5731
1	0.9653	1.4309	0.1984	51.3731
1	0.9693	1.1909	0.1928	50.1731
1	0.9733	0.9509	0.1872	48.9731
1	0.9773	0.7109	0.1816	47.7731
1	0.9813	0.5291	0.176	46.5731
1	0.9853	0.7691	0.1704	45.3731
1	0.9893	1.0091	0.1648	44.1731
1	0.9933	1.2491	0.1592	42.9731
1	0.9973	1.4891	0.1536	41.7731
1	0.9987	1.2709	0.148	40.5731
1	0.9947	1.0309	0.1424	39.3731
1	0.9907	0.7909	0.1368	38.1731
1	0.9867	0.5509	0.1312	36.9731
1	0.9827	0.6891	0.1256	35.7731
1	0.9787	0.9291	0.12	34.5731
1	0.9747	1.1691	0.1144	33.3731
1	0.9707	1.4091	0.1088	32.1731
1	0.9667	1.3509	0.1032	30.9731
1	0.9627	1.1109	0.0976	29.7731
1	0.9587	0.8709	0.092	28.5731
1	0.9547	0.6309	0.0864	27.3731
1	0.9507	0.6091	0.0808	26.1731
1	0.9467	0.8491	0.0752	24.9731
1	0.9427	1.0891	0.0696	23.7731
1	0.9387	1.3291	0.064	22.5731
1	0.9347	1.4309	0.0584	21.3731
1	0.9307	1.1909	0.0528	20.1731
1	0.9267	0.9509	0.0472	21.0269
1	0.9227	0.7109	0.0416	22.2269
1	0.9187	0.5291	0.036	23.4269
1	0.9147	0.7691	0.0304	24.6269
1	0.9107	1.0091	0.0248	25.8269
1	0.9067	1.2491	0.0208	27.0269
1	0.9027	1.4891	0.0264	28.2269
1	0.8987	1.2709	0.032	29.4269
1	0.8947	1.0309	0.0376	30.6269
1	0.8907	0.7909	0.0432	31.8269
1	0.8867	0.5509	0.0488	33.0269
1	0.8827	0.6891	0.0544	34.2269
1	0.8787	0.9291	0.06	35.4269
1	0.8747	1.1691	0.0656	36.6269
1	0.8707	1.4091	0.0712	37.8269
1	0.8667	1.3509	0.0768	39.0269
1	0.8627	1.1109	0.0824	40.2269
1	0.8587	0.8709	0.088	41.4269
1	0.8547	0.6309	0.0936	42.6269
1	0.8507	0.6091	0.0992	43.8269
1	0.8467	0.8491	0.1048	45.0269
1	0.8427	1.0891	0.1104	46.2269
1	0.8387	1.3291	0.116	47.4269
1	0.8347	1.4309	0.1216	48.6269
1	0.8307	1.1909	0.1272	49.8269
1	0.8267	0.9509	0.1328	51.0269
1	0.8227	0.7109	0.1384	52.2269
1	0.8187	0.5291	0.144	53.4269
1	0.8147	0.7691	0.1496	54.6269
1	0.8107	1.0091	0.1552	55.8269
1	0.8067	1.2491	0.1608	57.0269
1	0.8027	1.4891	0.1664	58.2269
1	0.7987	1.2709	0.172	59.4269
1	0.7947	1.0309	0.1776	59.3731
1	0.7907	0.7909	0.1832	58.1731
1	0.7867	0.5509	0.1888	56.9731
1	0.7827	0.6891	0.1944	55.7731
1	0.7787	0.9291	0.2	54.5731
1	0.7747	1.1691	0.2056	53.3731
1	0.7707	1.4091	0.2112	52.1731
1	0.7667	1.3509	0.2168	50.9731
1	0.7627	1.1109	0.2224	49.7731
1	0.7587	0.8709	0.228	48.5731
1	0.7547	0.6309	0.2336	47.3731
1	0.7507	0.6091	0.2392	46.1731
1	0.7467	0.8491	0.2448	44.9731
1	0.7427	1.0891	0.2504	43.7731
1	0.7387	1.3291	0.256	42.5731
1	0.7347	1.4309	0.2616	41.3731
1	0.7307	1.1909	0.2672	40.1731
1	0.7267	0.9509	0.2728	38.9731
1	0.7227	0.7109	0.2784	37.7731
1	0.7187	0.5291	0.284	36.5731
1	0.7147	0.7691	0.2896	35.3731
1	0.7107	1.0091	0.2952	34.1731
1	0.7067	1.2491	0.2992	32.9731
1	0.7027	1.4891	0.2936	31.7731
1	0.6987	1.2709	0.288	30.5731
1	0.6947	1.0309	0.2824	29.3731
1	0.6907	0.7909	0.2768	28.1731
1	0.6867	0.5509	0.2712	26.9731
1	0.6827	0.6891	0.2656	25.7731
1	0.6787	0.9291	0.26	24.5731
1	0.6747	1.1691	0.2544	23.3731
1	0.6707	1.4091	0.2488	22.1731
1	0.6667	1.3509	0.2432	20.9731
1	0.6627	1.1109	0.2376	20.2269
1	0.6587	0.8709	0.232	21.4269
1	0.6547	0.6309	0.2264	22.6269
1	0.6507	0.6091	0.2208	23.8269
1	0.6467	0.8491	0.2152	25.0269
1	0.6427	1.0891	0.2096	26.2269
1	0.6387	1.3291	0.204	27.4269
1	0.6347	1.4309	0.1984	28.6269
1	0.6307	1.1909	0.1928	29.8269
1	0.6267	0.9509	0.1872	31.0269
1	0.6227	0.7109	0.1816	32.2269
1	0.6187	0.5291	0.176	33.4269
1	0.6147	0.7691	0.1704	34.6269
1	0.6107	1.0091	0.1648	35.8269
1	0.6067	1.2491	0.1592	37.0269
1	0.6027	1.4891	0.1536	38.2269
1	0.6013	1.2709	0.148	39.4269
1	0.6053	1.0309	0.1424	40.6269
1	0.6093	0.7909	0.1368	41.8269
1	0.6133	0.5509	0.1312	43.0269
1	0.6173	0.6891	0.1256	44.2269
1	0.6213	0.9291	0.12	45.4269
1	0.6253	1.1691	0.1144	46.6269
1	0.6293	1.4091	0.1088	47.8269
1	0.6333	1.3509	0.1032	49.0269
1	0.6373	1.1109	0.0976	50.2269
1	0.6413	0.8709	0.092	51.4269
1	0.6453	0.6309	0.0864	52.6269
1	0.6493	0.6091	0.0808	53.8269
1	0.6533	0.8491	0.0752	55.0269
1	0.6573	1.0891	0.0696	56.2269
1	0.6613	1.3291	0.064	57.4269
1	0.6653	1.4309	0.0584	58.6269
1	0.6693	1.1909	0.0528	59.8269
1	0.6733	0.9509	0.0472	58.9731
1	0.6773	0.7109	0.0416	57.7731
1	0.6813	0.5291	0.036	56.5731
1	0.6853	0.7691	0.0304	55.3731
1	0.6893	1.0091	0.0248	54.1731
1	0.6933	1.2491	0.0208	52.9731
1	0.6973	1.4891	0.0264	51.7731
1	0.7013	1.2709	0.032	50.5731
1	0.7053	1.0309	0.0376	49.3731
1	0.7093	0.7909	0.0432	48.1731
1	0.7133	0.5509	0.0488	46.9731
1	0.7173	0.6891	0.0544	45.7731
1	0.7213	0.9291	0.06	44.5731
1	0.7253	1.1691	0.0656	43.3731
1	0.7293	1.4091	0.0712	42.1731
1	0.7333	1.3509	0.0768	40.9731
1	0.7373	1.1109	0.0824	39.7731
1	0.7413	0.8709	0.088	38.5731
1	0.7453	0.6309	0.0936	37.3731
1	0.7493	0.6091	0.0992	36.1731
1	0.7533	0.8491	0.1048	34.9731
1	0.7573	1.0891	0.1104	33.7731
1	0.7613	1.3291	0.116	32.5731
1	0.7653	1.4309	0.1216	31.3731
1	0.7693	1.1909	0.1272	30.1731
1	0.7733	0.9509	0.1328	28.9731
1	0.7773	0.7109	0.1384	27.7731
1	0.7813	0.5291	0.144	26.5731
1	0.7853	0.7691	0.1496	25.3731
1	0.7893	1.0091	0.1552	24.1731
1	0.7933	1.2491	0.1608	22.9731
1	0.7973	1.4891	0.1664	21.7731
1	0.8013	1.2709	0.172	20.5731
1	0.8053	1.0309	0.1776	20.6269
1	0.8093	0.7909	0.1832	21.8269
1	0.8133	0.5509	0.1888	23.0269
1	0.8173	0.6891	0.1944	24.2269
1	0.8213	0.9291	0.2	25.4269
1	0.8253	1.1691	0.2056	26.6269
1	0.8293	1.4091	0.2112	27.8269
1	0.8333	1.3509	0.2168	29.0269
1	0.8373	1.1109	0.2224	30.2269
1	0.8117	0.5662	0.2104	38.4648
1	0.8157	0.5862	0.2776	37.2648
1	0.8197	0.6062	0.2552	36.0648
1	0.8237	0.6262	0.188	34.8648
1	0.8277	0.6462	0.1208	33.6648
1	0.8317	0.6662	0.0536	32.4648
1	0.8357	0.6862	0.0536	31.2648
1	0.8397	0.7062	0.1208	30.0648
1	0.8437	0.7262	0.188	28.8648
1	0.8477	0.7462	0.2552	27.6648
1	0.8517	0.7662	0.2776	26.4648
1	0.8557	0.7862	0.2104	25.2648
1	0.8597	0.8062	0.1432	24.0648
1	0.8637	0.8262	0.076	22.8648
1	0.8677	0.8462	0.0312	21.6648
1	0.8717	0.8662	0.0984	20.4648
1	0.8757	0.8862	0.1656	20.7352
1	0.8797	0.9062	0.2328	21.9352
1	0.8837	0.9262	0.3	23.1352
1	0.8877	0.9462	0.2328	24.3352
1	0.8917	0.9662	0.1656	25.5352
1	0.8957	0.9862	0.0984	26.7352
1	0.8997	1.0062	0.0312	27.9352
1	0.9037	1.0262	0.076	29.1352
1	0.9077	1.0462	0.1432	30.3352
1	0.9117	1.0662	0.2104	31.5352
1	0.9157	1.0862	0.2776	32.7352
1	0.9197	1.1062	0.2552	33.9352
1	0.9237	1.1262	0.188	35.1352
1	0.9277	1.1462	0.1208	36.3352
1	0.9317	1.1662	0.0536	37.5352
1	0.9357	1.1862	0.0536	38.7352
1	0.9397	1.2062	0.1208	39.9352
1	0.9437	1.2262	0.188	41.1352
1	0.9477	1.2462	0.2552	42.3352
1	0.9517	1.2662	0.2776	43.5352
1	0.9557	1.2862	0.2104	44.7352
1	0.9597	1.3062	0.1432	45.9352
1	0.9637	1.3262	0.076	47.1352
1	0.9677	1.3462	0.0312	48.3352
1	0.9717	1.3662	0.0984	49.5352
1	0.9757	1.3862	0.1656	50.7352
1	0.9797	1.4062	0.2328	51.9352
1	0.9837	1.4262	0.3	53.1352
1	0.9877	1.4462	0.2328	54.3352
1	0.9917	1.4662	0.1656	55.5352
1	0.9957	1.4862	0.0984	56.7352
1	0.9997	1.4938	0.0312	57.9352
1	0.9963	1.4738	0.076	59.1352
1	0.9923	1.4538	0.1432	59.6648
1	0.9883	1.4338	0.2104	58.4648
1	0.9843	1.4138	0.2776	57.2648
1	0.9803	1.3938	0.2552	56.0648
1	0.9763	1.3738	0.188	54.8648
1	0.9723	1.3538	0.1208	53.6648
1	0.9683	1.3338	0.0536	52.4648
1	0.9643	1.3138	0.0536	51.2648
1	0.9603	1.2938	0.1208	50.0648
1	0.9563	1.2738	0.188	48.8648
1	0.9523	1.2538	0.2552	47.6648
1	0.9483	1.2338	0.2776	46.4648
1	0.9443	1.2138	0.2104	45.2648
1	0.9403	1.1938	0.1432	44.0648
1	0.9363	1.1738	0.076	42.8648
1	0.9323	1.1538	0.0312	41.6648
1	0.9283	1.1338	0.0984	40.4648
1	0.9243	1.1138	0.1656	39.2648
1	0.9203	1.0938	0.2328	38.0648
1	0.9163	1.0738	0.3	36.8648
1	0.9123	1.0538	0.2328	35.6648
1	0.9083	1.0338	0.1656	34.4648
1	0.9043	1.0138	0.0984	33.2648
1	0.9003	0.9938	0.0312	32.0648
1	0.8963	0.9738	0.076	30.8648
1	0.8923	0.9538	0.1432	29.6648
1	0.8883	0.9338	0.2104	28.4648
1	0.8843	0.9138	0.2776	27.2648
1	0.8803	0.8938	0.2552	26.0648
1	0.8763	0.8738	0.188	24.8648
1	0.8723	0.8538	0.1208	23.6648
1	0.8683	0.8338	0.0536	22.4648
1	0.8643	0.8138	0.0536	21.2648
1	0.8603	0.7938	0.1208	20.0648
1	0.8563	0.7738	0.188	21.1352
1	0.8523	0.7538	0.2552	22.3352
1	0.8483	0.7338	0.2776	23.5352
1	0.8443	0.7138	0.2104	24.7352
1	0.8403	0.6938	0.1432	25.9352
1	0.8363	0.6738	0.076	27.1352
1	0.8323	0.6538	0.0312	28.3352
1	0.8283	0.6338	0.0984	29.5352
1	0.8243	0.6138	0.1656	30.7352
1	0.8203	0.5938	0.2328	31.9352
1	0.8163	0.5738	0.3	33.1352
1	0.8123	0.5538	0.2328	34.3352
1	0.8083	0.5338	0.1656	35.5352
1	0.8043	0.5138	0.0984	36.7352
1	0.8003	0.5062	0.0312	37.9352
1	0.7963	0.5262	0.076	39.1352
1	0.7923	0.5462	0.1432	40.3352
1	0.7883	0.5662	0.2104	41.5352
1	0.7843	0.5862	0.2776	42.7352
1	0.7803	0.6062	0.2552	43.9352
1	0.7763	0.6262	0.188	45.1352
1	0.7723	0.6462	0.1208	46.3352
1	0.7683	0.6662	0.0536	47.5352
1	0.7643	0.6862	0.0536	48.7352
1	0.7603	0.7062	0.1208	49.9352
1	0.7563	0.7262	0.188	51.1352
1	0.7523	0.7462	0.2552	52.3352
1	0.7483	0.7662	0.2776	53.5352
1	0.7443	0.7862	0.2104	54.7352
1	0.7403	0.8062	0.1432	55.9352
1	0.7363	0.8262	0.076	57.1352
1	0.7323	0.8462	0.0312	58.3352
1	0.7283	0.8662	0.0984	59.5352
1	0.7243	0.8862	0.1656	59.2648
1	0.7203	0.9062	0.2328	58.0648
1	0.7163	0.9262	0.3	56.8648
1	0.7123	0.9462	0.2328	55.6648
1	0.7083	0.9662	0.1656	54.4648
1	0.7043	0.9862	0.0984	53.2648
1	0.7003	1.0062	0.0312	52.0648
1	0.6963	1.0262	0.076	50.8648
1	0.6923	1.0462	0.1432	49.6648
1	0.6883	1.0662	0.2104	48.4648
1	0.6843	1.0862	0.2776	47.2648
1	0.6803	1.1062	0.2552	46.0648
1	0.6763	1.1262	0.188	44.8648
1	0.6723	1.1462	0.1208	43.6648
1	0.6683	1.1662	0.0536	42.4648
1	0.6643	1.1862	0.0536	41.2648
1	0.6603	1.2062	0.1208	40.0648
1	0.6563	1.2262	0.188	38.8648
1	0.6523	1.2462	0.2552	37.6648
