Iter	Fgutabs	k_a	k_e	V_dist	C_rest_1.1	C_rest_1.2	C_rest_1.3	C_rest_1.4	C_rest_1.5	C_rest_1.6	C_rest_1.7	C_rest_1.8	C_rest_1.9	C_rest_1.10	C_rest_1.11	C_rest_1.12	C_rest_1.13	C_rest_1.14	C_rest_1.15	C_rest_1.16	C_rest_1.17	C_rest_1.18	C_rest_1.19	C_rest_1.20	C_rest_1.21	C_rest_1.22	C_rest_1.23	C_rest_1.24	C_rest_1.25
322	0.8233	1.4394	0.2885	45.004	3.72582	7.45832	8.51748	8.37685	7.74022	6.93839	6.1222	5.35621	4.66418	4.05102	3.51336	3.04459	2.63715	2.28366	1.97727	1.71184	1.48198	1.28295	1.11063	0.961452	0.832306	0.720506	0.623722	0.539939	0.46741
323	0.8193	1.1994	0.2941	46.204	3.09467	6.50077	7.71399	7.81316	7.37826	6.71709	5.98946	5.27523	4.61139	4.01237	3.48103	3.01452	2.60751	2.25381	1.94718	1.68177	1.45226	1.25393	1.0826	0.934631	0.806864	0.696549	0.60131	0.519089	0.448108
324	0.8153	0.9594	0.2997	47.404	2.4699	5.45789	6.76058	7.09621	6.89876	6.42775	5.83595	5.21117	4.60193	4.0333	3.51645	3.05459	2.64653	2.28876	1.97677	1.70572	1.47084	1.2677	1.09224	0.940837	0.810274	0.697741	0.600781	0.517262	0.445332
325	0.8113	0.7194	0.2947	48.604	1.85212	4.3283	5.64046	6.19727	6.2761	6.0638	5.68494	5.22145	4.72618	4.23227	3.75962	3.31934	2.91677	2.55359	2.22916	1.94149	1.68788	1.46527	1.27055	1.10068	0.952817	0.824324	0.712816	0.616153	0.532432
326	0.8073	0.5206	0.2891	49.804	1.3348	3.27425	4.46701	5.12489	5.40567	5.42624	5.27258	5.00745	4.67613	4.31088	3.93427	3.56168	3.20328	2.86539	2.55161	2.26359	2.00164	1.76516	1.55296	1.36351	1.19507	1.04585	0.914046	0.797931	0.695861
327	0.8033	0.7606	0.2835	51.004	1.84096	4.27426	5.53924	6.05818	6.11277	5.8896	5.51096	5.0559	4.57454	4.09768	3.64345	3.22162	2.83666	2.48966	2.1797	1.90467	1.66186	1.44832	1.26108	1.09726	0.95419	0.829414	0.720708	0.62608	0.543762
328	0.7993	1.0006	0.2779	52.204	2.28818	5.04095	6.23613	6.54834	6.37868	5.96341	5.43974	4.88561	4.3437	3.83593	3.37208	2.95512	2.58418	2.25647	1.96831	1.71573	1.49483	1.30193	1.13365	0.986955	0.859146	0.747828	0.650898	0.566509	0.493047
329	0.7953	1.2406	0.2723	53.404	2.6826	5.62158	6.67019	6.7699	6.4184	5.87579	5.27543	4.68329	4.12984	3.6271	3.17776	2.7799	2.42962	2.12228	1.85317	1.61784	1.41221	1.23261	1.0758	0.938909	0.819422	0.715132	0.624112	0.544673	0.475345
330	0.7913	1.4806	0.2667	54.604	3.02972	6.05403	6.92114	6.83117	6.34757	5.73124	5.09974	4.50315	3.96007	3.47481	3.04536	2.66725	2.33525	2.04419	1.78921	1.56595	1.37051	1.19944	1.04971	0.918669	0.803984	0.703615	0.615775	0.538901	0.471624
331	0.7873	1.2794	0.2611	55.804	2.61254	5.44826	6.44581	6.53479	6.19804	5.6837	5.11691	4.5586	4.03652	3.56141	3.13551	2.75702	2.42237	2.12737	1.86778	1.63959	1.43914	1.26312	1.1086	0.972949	0.85389	0.749393	0.657681	0.577192	0.506552
332	0.7833	1.0394	0.2555	57.004	2.12933	4.68073	5.78857	6.08703	5.94736	5.58519	5.12415	4.63379	4.15192	3.69791	3.28054	2.90265	2.56378	2.26181	1.99382	1.75665	1.54714	1.36228	1.19932	1.05573	0.929265	0.817907	0.71987	0.633569	0.557605
333	0.7793	0.7994	0.2499	58.204	1.64412	3.81817	4.95693	5.43897	5.51373	5.34459	5.03767	4.66108	4.25785	3.85445	3.46656	3.10287	2.76757	2.46204	2.18597	1.93799	1.71625	1.51862	1.34289	1.18693	1.04871	0.926329	0.818059	0.722329	0.637726
334	0.7753	0.5594	0.2443	59.404	1.15584	2.8422	3.89078	4.48321	4.75382	4.8015	4.69871	4.49811	4.23769	3.94457	3.63778	3.33045	3.03139	2.74625	2.47842	2.22969	2.00072	1.79138	1.60106	1.42881	1.27347	1.13381	1.00856	0.896455	0.796301
335	0.7713	0.6806	0.2387	59.396	1.37947	3.30207	4.40904	4.96502	5.15501	5.10771	4.91208	4.62915	4.30025	3.95301	3.60544	3.26896	2.95038	2.65346	2.37985	2.12983	1.90283	1.69773	1.51311	1.34743	1.19907	1.06647	0.948128	0.842626	0.748657
336	0.7673	0.9206	0.2331	58.196	1.84113	4.18033	5.32452	5.75107	5.75725	5.52706	5.17345	4.76488	4.34202	3.92829	3.53648	3.17289	2.8399	2.53761	2.26484	2.01972	1.80007	1.60365	1.42824	1.27175	1.13225	1.00794	0.897211	0.798606	0.710812
337	0.7633	1.1606	0.2275	56.996	2.29192	4.94826	6.04099	6.30091	6.13249	5.75805	5.29843	4.81801	4.34994	3.91021	3.50544	3.1373	2.80489	2.50605	2.23814	1.99836	1.78398	1.59244	1.42137	1.26863	1.13228	1.01056	0.901922	0.804957	0.718414
338	0.7593	1.4006	0.2219	55.796	2.73308	5.62462	6.61189	6.70089	6.38607	5.90848	5.38383	4.86602	4.37863	3.93052	3.52358	3.15643	2.82639	2.53028	2.26492	2.02724	1.81443	1.62393	1.45341	1.30079	1.16419	1.04193	0.932515	0.834586	0.746941
339	0.7553	1.3594	0.2163	54.596	2.71195	5.63723	6.6827	6.82034	6.5381	6.07917	5.56309	5.04709	4.55723	4.10401	3.69038	3.31567	2.9776	2.6733	2.39973	2.15397	1.9333	1.73518	1.55734	1.39772	1.25445	1.12587	1.01046	0.906881	0.81392
340	0.7513	1.1194	0.2107	53.396	2.33913	5.11919	6.32943	6.68053	6.57476	6.2386	5.79836	5.32345	4.85108	4.40026	3.97984	3.59307	3.24019	2.91985	2.62998	2.36819	2.13208	1.91928	1.72759	1.55498	1.39957	1.25966	1.13373	1.02039	0.918365
341	0.7473	0.8794	0.2051	52.196	1.92629	4.44836	5.76053	6.32373	6.43192	6.27178	5.9612	5.57389	5.1554	4.73333	4.32378	3.93572	3.57362	3.23916	2.93237	2.65231	2.3975	2.16621	1.95661	1.7669	1.59532	1.44024	1.30013	1.17358	1.05931
342	0.7433	0.6394	0.1995	50.996	1.46932	3.58843	4.88833	5.61591	5.94833	6.01235	5.89825	5.67001	5.37267	5.03763	4.68651	4.33393	3.98956	3.65952	3.34749	3.0554	2.784	2.53326	2.30261	2.09116	1.89783	1.72144	1.56075	1.41457	1.28172
343	0.7393	0.6006	0.1939	49.796	1.41353	3.48868	4.7999	5.56622	5.94789	6.06188	5.9932	5.80339	5.53671	5.22474	4.88982	4.5475	4.2084	3.87961	3.56561	3.26909	2.99143	2.73309	2.49393	2.27341	2.07069	1.88479	1.71466	1.55921	1.41735
344	0.7353	0.8406	0.1883	48.596	1.95937	4.5853	6.01378	6.68234	6.876	6.77975	6.51317	6.15297	5.74793	5.32855	4.91354	4.51393	4.13586	3.78231	3.45433	3.15174	2.87367	2.61882	2.38572	2.17281	1.97853	1.80137	1.63993	1.49285	1.35889
345	0.7313	1.0806	0.1827	47.396	2.49682	5.55408	6.97726	7.47972	7.47431	7.19905	6.79034	6.32557	5.84794	5.38086	4.93642	4.52021	4.13418	3.77826	3.45133	3.15172	2.87756	2.62692	2.39792	2.18878	1.99781	1.82346	1.66431	1.51903	1.38643
346	0.7273	1.3206	0.1771	46.196	3.02755	6.41731	7.75752	8.07362	7.89244	7.48351	6.98363	6.4612	5.94951	5.46385	5.01041	4.59076	4.20428	3.84931	3.52379	3.22553	2.95237	2.70228	2.47333	2.26376	2.07193	1.89636	1.73566	1.58858	1.45396
347	0.7233	1.4394	0.1715	44.996	3.32453	6.89247	8.19631	8.4334	8.18377	7.72712	7.19725	6.65698	6.13486	5.64285	5.18504	4.76183	4.37192	4.01334	3.68387	3.3813	3.10352	2.84852	2.61446	2.39962	2.20244	2.02145	1.85534	1.70288	1.56294
348	0.7193	1.1994	0.1659	43.796	2.91452	6.35424	7.86412	8.34468	8.28789	7.96165	7.51096	7.01357	6.51044	6.02249	5.55971	5.12627	4.72321	4.34999	4.00522	3.68723	3.39417	3.12423	2.87567	2.64684	2.43618	2.24228	2.0638	1.89952	1.74832
349	0.7153	0.9594	0.1603	42.596	2.45524	5.64163	7.29643	8.02767	8.20983	8.07296	7.75783	7.35013	6.90151	6.44266	5.99145	5.55784	5.14701	4.76125	4.40114	4.06624	3.75558	3.46789	3.20175	2.95575	2.72846	2.51854	2.3247	2.14573	1.98052
350	0.7113	0.7194	0.1547	41.396	1.94094	4.71095	6.39428	7.33782	7.78227	7.89436	7.78924	7.54617	7.21947	6.8461	6.45096	6.05067	5.65603	5.27393	4.90852	4.56211	4.23575	3.9297	3.64363	3.37691	3.12869	2.898	2.68382	2.48512	2.30088
351	0.7073	0.5206	0.1491	40.196	1.4749	3.75336	5.32168	6.35611	6.99154	7.33105	7.45325	7.41797	7.2706	7.04546	6.76838	6.45872	6.13083	5.79531	5.45985	5.12996	4.80948	4.501	4.20621	3.92604	3.66096	3.41104	3.17607	2.95567	2.74933
352	0.7033	0.7606	0.1435	38.996	2.14617	5.17682	6.99191	7.99375	8.45616	8.56519	8.44697	8.18673	7.84182	7.4506	7.03846	6.62205	6.21204	5.81508	5.43513	5.07431	4.73357	4.41308	4.11248	3.83113	3.56819	3.32272	3.09375	2.88028	2.68137
353	0.6993	1.0006	0.1379	37.796	2.81548	6.45313	8.34261	9.19315	9.43339	9.32195	9.01438	8.60389	8.14591	7.67307	7.20422	6.74992	6.31577	5.90442	5.51676	5.15267	4.81147	4.49217	4.19365	3.91471	3.65417	3.41088	3.18373	2.97167	2.77372
354	0.6953	1.2406	0.1323	36.596	3.48551	7.60975	9.46058	10.1123	10.1412	9.85568	9.42037	8.92254	8.40797	7.90019	7.41084	6.94527	6.50544	6.09157	5.70302	5.33871	4.99738	4.67771	4.37841	4.09821	3.83592	3.5904	3.36059	3.14549	2.94415
355	0.6913	1.4806	0.1267	35.396	4.15915	8.6705	10.4118	10.8571	10.7079	10.2973	9.78285	9.23845	8.69812	8.17696	7.68111	7.21251	6.77115	6.35617	5.96631	5.60022	5.25652	4.93388	4.63103	4.34676	4.07994	3.82949	3.59442	3.37378	3.16668
356	0.6873	1.2794	0.1211	34.196	3.79056	8.23801	10.2173	10.9162	10.9602	10.6777	10.241	9.73985	9.22064	8.70687	8.21007	7.73548	7.2851	6.85924	6.45738	6.0786	5.72178	5.38577	5.06943	4.77163	4.49131	4.22744	3.97907	3.74529	3.52525
357	0.6833	1.0394	0.1155	32.996	3.26768	7.47582	9.66793	10.6786	11.003	10.9349	10.6479	10.2447	9.78535	9.30496	8.82368	8.35285	7.89859	7.46396	7.05023	6.65765	6.28587	5.93422	5.60187	5.2879	4.9914	4.71145	4.44715	4.19765	3.96213
358	0.6793	0.7994	0.1099	31.796	2.67095	6.44692	8.72984	10.025	10.6703	10.892	10.8407	10.6172	10.2884	9.8984	9.47653	9.04183	8.60666	8.17885	7.76325	7.36272	6.97881	6.61221	6.26306	5.93113	5.61598	5.31703	5.03363	4.76509	4.51071
359	0.6753	0.5594	0.1043	30.596	1.98974	5.07843	7.2319	8.68755	9.62441	10.1774	10.448	10.5127	10.4287	10.2392	9.97626	9.66389	9.31992	8.95754	8.58644	8.21369	7.84438	7.4821	7.12937	6.78787	6.45865	6.14233	5.83918	5.54926	5.27241
360	0.6713	0.6806	0.0987	29.396	2.46965	6.1405	8.54146	10.049	10.9304	11.3756	11.5192	11.4564	11.2548	10.9619	10.6112	10.2264	9.8237	9.41452	9.00661	8.60525	8.21389	7.83474	7.46913	7.11776	6.78092	6.4586	6.15059	5.85655	5.57606
361	0.6673	0.9206	0.0931	28.196	3.36501	7.94731	10.5743	11.9793	12.6247	12.8017	12.6935	12.4153	12.0394	11.611	11.1581	10.698	10.2414	9.79447	9.36092	8.94268	8.54069	8.15523	7.7862	7.43325	7.09592	6.77365	6.46586	6.17196	5.89136
362	0.6633	1.1606	0.0875	26.996	4.2823	9.63041	12.3143	13.5201	13.9114	13.8588	13.5695	13.1587	12.6906	12.2007	11.7082	11.2237	10.7526	10.2976	9.85969	9.43927	9.03612	8.64982	8.27984	7.92556	7.58639	7.26169	6.95087	6.65334	6.36854
363	0.6593	1.4006	0.0819	25.796	5.22839	11.2233	13.8533	14.8266	14.9908	14.7662	14.3608	13.8775	13.3668	12.8534	12.349	11.8592	11.3862	10.9307	10.4928	10.0722	9.66822	9.28038	8.90807	8.55067	8.20761	7.8783	7.5622	7.25879	6.96754
364	0.6553	1.3594	0.0763	24.596	5.31963	11.5317	14.3491	15.4584	15.7142	15.5488	15.1811	14.7214	14.2254	13.7209	13.2214	12.7337	12.2606	11.8036	11.3627	10.9378	10.5286	10.1347	9.75536	9.39024	9.03876	8.70044	8.37477	8.06129	7.75955
365	0.6513	1.1194	0.0707	23.396	4.71302	10.7424	13.9079	15.4467	16.0655	16.1676	15.9832	15.6436	15.2234	14.765	14.2924	13.8189	13.3521	12.8959	12.4522	12.0222	11.606	11.2037	10.815	10.4397	10.0772	9.7273	9.3895	9.06341	8.74863
366	0.6473	0.8794	0.0651	22.196	3.99513	9.59585	12.9791	14.941	15.9942	16.4688	16.5771	16.4557	16.1925	15.8439	15.446	15.0219	14.5862	14.1484	13.7141	13.2871	12.8694	12.4623	12.0664	11.682	11.3093	10.9479	10.5979	10.2588	9.93052
367	0.6433	0.6394	0.0595	20.996	3.14432	7.97633	11.3193	13.5855	15.0745	16.0034	16.5299	16.7686	16.8024	16.6915	16.4794	16.1977	15.8691	15.5102	15.1327	14.7452	14.3537	13.9625	13.5748	13.1925	12.8171	12.4496	12.0907	11.7406	11.3996
368	0.6393	0.6006	0.0539	20.204	3.06689	7.86064	11.2623	13.6368	15.2546	16.3156	16.968	17.3212	17.4564	17.4335	17.2967	17.0788	16.8039	16.4898	16.1496	15.793	15.427	15.0567	14.6859	14.3173	13.9528	13.5939	13.2413	12.8958	12.5578
369	0.6353	0.8406	0.0483	21.404	3.9135	9.52439	13.044	15.1938	16.4479	17.1173	17.4063	17.4491	17.3337	17.1178	16.8391	16.5226	16.1844	15.835	15.4814	15.1278	14.7773	14.4315	14.0917	13.7584	13.4321	13.1128	12.8008	12.4959	12.1981
370	0.6313	1.0806	0.0427	22.604	4.60247	10.6621	14.0237	15.8171	16.7003	17.0567	17.1096	16.9889	16.7702	16.4977	16.1968	15.8824	15.563	15.2437	14.9271	14.615	14.3082	14.007	13.7117	13.4225	13.1392	12.8617	12.5901	12.3242	12.0639
371	0.6273	1.3206	0.0371	23.804	5.16168	11.4099	14.4776	15.905	16.4876	16.6367	16.5645	16.3808	16.1421	15.8776	15.6025	15.3243	15.0471	14.7729	14.5025	14.2366	13.9753	13.7186	13.4665	13.2191	12.9762	12.7377	12.5036	12.2738	12.0482
372	0.6233	1.4394	0.0315	25.004	5.25166	11.3624	14.2001	15.4463	15.9198	16.0191	15.9382	15.7717	15.5654	15.3417	15.1115	14.88	14.6497	14.4219	14.1971	13.9755	13.7572	13.5423	13.3307	13.1224	12.9173	12.7155	12.5168	12.3212	12.1287
373	0.6193	1.1994	0.0259	26.204	4.27144	9.70581	12.5944	14.0867	14.8137	15.1217	15.2008	15.1555	15.043	14.8947	14.728	14.5521	14.3723	14.1915	14.0112	13.8321	13.6548	13.4795	13.3063	13.1352	12.9662	12.7995	12.6348	12.4722	12.3118
374	0.6153	0.9594	0.0203	27.404	3.3429	7.99498	10.8146	12.5007	13.4856	14.0373	14.3212	14.4401	14.4574	14.4124	14.3293	14.2233	14.1036	13.976	13.844	13.7099	13.5749	13.44	13.3057	13.1721	13.0396	12.9082	12.7781	12.6492	12.5215
375	0.6113	0.7194	0.0253	28.604	2.45445	6.17402	8.71378	10.4309	11.5745	12.3187	12.7847	13.0573	13.1956	13.2407	13.2216	13.1581	13.0645	12.9503	12.8224	12.6856	12.5432	12.3974	12.2498	12.1016	11.9536	11.8061	11.6597	11.5145	11.3707
376	0.6073	0.5206	0.0309	29.804	1.73382	4.55421	6.67889	8.26807	9.44521	10.3055	10.9222	11.3519	11.6382	11.8146	11.907	11.9352	11.9148	11.8574	11.7721	11.6661	11.5446	11.4118	11.2709	11.1244	10.9741	10.8215	10.6676	10.5133	10.3593
377	0.6033	0.7606	0.0365	31.004	2.34764	5.83363	8.14038	9.64231	10.5954	11.1746	11.4994	11.6517	11.6873	11.6443	11.5489	11.4187	11.266	11.099	10.9235	10.7431	10.5606	10.3776	10.1955	10.0148	9.83629	9.66016	9.48666	9.31592	9.14801
378	0.6007	1.0006	0.0421	32.204	2.87396	6.77118	9.02952	10.2963	10.964	11.2705	11.3601	11.3201	11.2035	11.0425	10.8563	10.6568	10.4509	10.243	10.0355	9.8301	9.62751	9.42829	9.2327	9.04087	8.85285	8.66862	8.48816	8.31141	8.13832
379	0.6047	1.2406	0.0477	33.404	3.35801	7.51811	9.62071	10.62	11.0291	11.1237	11.0522	10.8943	10.6927	10.4704	10.2395	10.0068	9.77555	9.54763	9.32395	9.10492	8.89072	8.68139	8.4769	8.27718	8.08213	7.89167	7.70569	7.52409	7.34677
380	0.6087	1.4806	0.0533	34.604	3.78254	8.06499	9.94294	10.6784	10.873	10.8139	10.6377	10.4095	10.1604	9.90491	9.65003	9.39892	9.15302	8.91292	8.67882	8.45072	8.22855	8.01219	7.8015	7.59634	7.39658	7.20206	7.01266	6.82825	6.64868
381	0.6127	1.2794	0.0589	35.804	3.25381	7.20416	9.12852	9.98889	10.2926	10.3069	10.1729	9.96477	9.72152	9.46363	9.20177	8.94147	8.68554	8.43535	8.19154	7.95433	7.72376	7.49976	7.28219	7.0709	6.86572	6.66648	6.47302	6.28517	6.10278
382	0.6167	1.0394	0.0645	37.004	2.64724	6.14635	8.08217	9.09291	9.55796	9.70283	9.66144	9.51333	9.30569	9.06643	8.81203	8.55222	8.2926	8.03644	7.78557	7.54097	7.30313	7.07224	6.84832	6.63129	6.42103	6.21737	6.02012	5.82911	5.64414
383	0.6207	0.7994	0.0701	38.204	2.04162	4.98299	6.83076	7.94954	8.58365	8.89679	8.99856	8.96233	8.83715	8.65582	8.4402	8.20482	7.95932	7.71006	7.46118	7.21538	6.97436	6.73917	6.51043	6.28845	6.07337	5.8652	5.66387	5.46925	5.28118
384	0.6247	0.5594	0.0757	39.404	1.43443	3.68943	5.29748	6.42002	7.17897	7.66637	7.95169	8.08732	8.11275	8.05773	7.94467	7.79038	7.60746	7.40537	7.19115	6.97004	6.74592	6.52165	6.29929	6.08034	5.86586	5.65658	5.45297	5.25534	5.06385
385	0.6287	0.6806	0.0813	40.604	1.67822	4.19268	5.86242	6.93584	7.58953	7.94893	8.10314	8.11539	8.03052	7.88026	7.68706	7.46673	7.23041	6.98588	6.73854	6.49213	6.24918	6.01139	5.77986	5.55526	5.33799	5.1282	4.92596	4.73118	4.54374
386	0.6327	0.9206	0.0869	41.804	2.15368	5.09542	6.79308	7.71235	8.14684	8.28161	8.23314	8.07472	7.85232	7.59477	7.32002	7.03917	6.75906	6.48377	6.21573	5.95626	5.70604	5.46534	5.23417	5.01238	4.79974	4.59596	4.40074	4.21374	4.03465
387	0.6367	1.1606	0.0925	43.004	2.57875	5.79079	7.39219	8.10092	8.31851	8.26928	8.0784	7.81564	7.51969	7.2119	6.90389	6.60191	6.30915	6.02715	5.7565	5.49731	5.2494	5.01245	4.78608	4.56986	4.36337	4.16619	3.97791	3.79813	3.62647
388	0.6407	1.4006	0.0981	44.204	2.95871	6.32005	7.75653	8.24855	8.2823	8.09861	7.81658	7.49486	7.16213	6.83222	6.5116	6.2031	5.90776	5.62576	5.35687	5.10065	4.85659	4.62417	4.40285	4.19212	3.99146	3.80041	3.6185	3.44529	3.28038
389	0.6447	1.3594	0.1037	45.404	2.8249	6.07326	7.48488	7.97757	8.01581	7.83445	7.55193	7.22778	6.89168	6.5582	6.2343	5.92307	5.62571	5.34242	5.07297	4.81689	4.57362	4.34259	4.1232	3.91487	3.71707	3.52925	3.35093	3.18161	3.02085
390	0.6487	1.1194	0.1093	46.604	2.34474	5.28439	6.75426	7.39549	7.57381	7.49762	7.2855	7.00466	6.69306	6.37191	6.05292	5.74237	5.44347	5.15767	4.88549	4.62687	4.38149	4.14887	3.92844	3.71964	3.52189	3.33463	3.1573	2.9894	2.83042
391	0.6527	0.8794	0.1149	47.804	1.85848	4.40145	5.86082	6.63208	6.96949	7.03629	6.93715	6.73906	6.48471	6.20119	5.90557	5.60845	5.31632	5.03303	4.76075	4.50056	4.25291	4.0178	3.79498	3.58407	3.38459	3.19603	3.01785	2.84953	2.69054
392	0.6567	0.6394	0.1205	49.004	1.36458	3.40445	4.74504	5.58595	6.07167	6.30671	6.36655	6.3056	6.16304	5.96694	5.73735	5.48855	5.23059	4.97048	4.71306	4.46161	4.21826	3.98434	3.76062	3.54745	3.3449	3.15287	2.97109	2.79924	2.63692
393	0.6607	0.6006	0.1261	50.204	1.26384	3.1765	4.45611	5.27524	5.76121	6.0078	6.08404	6.04061	5.91468	5.73335	5.5164	5.2781	5.02874	4.77564	4.52396	4.27724	4.03789	3.80746	3.58688	3.37665	3.17695	2.98773	2.8088	2.63986	2.48055
394	0.6647	0.8406	0.1317	51.404	1.68671	4.00988	5.35092	6.05863	6.36137	6.40843	6.29724	6.09114	5.83119	5.5438	5.24583	4.94786	4.65641	4.37534	4.1068	3.85185	3.61082	3.38362	3.16991	2.96915	2.78076	2.60409	2.43849	2.28332	2.13796
395	0.6687	1.0806	0.1373	52.604	2.06921	4.66346	5.94538	6.47799	6.58828	6.46581	6.22014	5.91425	5.58407	5.24983	4.92263	4.60833	4.30975	4.02799	3.76318	3.51492	3.28254	3.06524	2.86215	2.67242	2.49521	2.32972	2.17518	2.03088	1.89615
396	0.6727	1.3206	0.1429	53.804	2.4151	5.17152	6.32519	6.66938	6.61271	6.36504	6.03377	5.67333	5.31085	4.95948	4.62516	4.31019	4.01502	3.73921	3.48191	3.24209	3.01868	2.81059	2.61682	2.43639	2.2684	2.11198	1.96635	1.83076	1.70451
397	0.6767	1.4394	0.1485	55.004	2.55213	5.32805	6.38728	6.63159	6.49853	6.19977	5.83707	5.45878	5.08734	4.73264	4.39852	4.08597	3.79466	3.52364	3.27174	3.03774	2.82042	2.61862	2.43124	2.25727	2.09574	1.94577	1.80653	1.67725	1.55723
398	0.6807	1.1994	0.1541	56.204	2.15253	4.70918	5.85114	6.23586	6.22283	6.00808	5.69798	5.34979	4.99389	4.64597	4.31374	4.0006	3.70764	3.43473	3.18114	2.94585	2.72774	2.52564	2.33845	2.16509	2.00457	1.85593	1.71831	1.5909	1.47292
399	0.6847	0.9594	0.1597	57.404	1.74408	4.00821	5.18487	5.70569	5.83646	5.74053	5.51784	5.22922	4.91137	4.58611	4.26613	3.95852	3.66697	3.39313	3.13742	2.89955	2.67882	2.47434	2.28514	2.11019	1.94851	1.79913	1.66116	1.53374	1.41607
400	0.6671	0.9715	0.0516	36.402	2.74766	6.49568	8.67922	9.90333	10.5402	10.8188	10.8798	10.8097	10.6618	10.4686	10.2502	10.0188	9.78184	9.54393	9.30775	9.07493	8.84641	8.6227	8.40407	8.19062	7.98238	7.7793	7.5813	7.3883	7.20017
401	0.6631	0.9515	0.0556	35.202	2.77136	6.57207	8.80094	10.0567	10.7112	10.9957	11.0534	10.9736	10.8115	10.6013	10.3642	10.1133	9.85672	9.59933	9.34413	9.0929	8.84668	8.60605	8.37129	8.14251	7.91973	7.70288	7.49186	7.28657	7.08686
402	0.6591	0.9315	0.1228	34.002	2.77442	6.48219	8.5271	9.5451	9.93435	9.94385	9.72896	9.38639	8.97604	8.53479	8.08507	7.64034	7.20841	6.79361	6.39812	6.02279	5.6677	5.33241	5.01626	4.71841	4.43797	4.17402	3.92567	3.69202	3.47223
403	0.6551	0.9115	0.19	32.802	2.77967	6.40057	8.27575	9.0823	9.24602	9.0337	8.61162	8.08263	7.50953	6.93003	6.36605	5.82974	5.32716	4.8607	4.43054	4.03557	3.674	3.34367	3.04232	2.76766	2.51751	2.28978	2.08254	1.89397	1.72244
404	0.6511	0.8915	0.2572	31.602	2.78733	6.32738	8.04605	8.66459	8.63682	8.24633	7.66856	7.01041	6.33556	5.6806	5.06527	4.49895	3.98482	3.52238	3.10912	2.74148	2.41549	2.1271	1.8724	1.64772	1.4497	1.27528	1.12172	0.986567	0.867651
405	0.6471	0.8715	0.2756	30.402	2.81516	6.38686	8.10918	8.71102	8.6541	8.22853	7.61456	6.92235	6.21753	5.53764	4.90272	4.322	3.79824	3.33039	2.91531	2.54885	2.22645	1.94353	1.69573	1.47899	1.2896	1.12424	0.979939	0.854065	0.744299
406	0.6431	0.8515	0.2084	29.202	2.87752	6.6803	8.68955	9.57412	9.76631	9.54436	9.08626	8.50486	7.87081	7.22754	6.60092	6.0056	5.44912	4.9346	4.46243	4.03139	3.63935	3.28372	2.96172	2.67056	2.40755	2.17013	1.95592	1.76272	1.58852
407	0.6391	0.8315	0.1412	28.002	2.94452	6.99563	9.32431	10.5399	11.043	11.0963	10.8718	10.4816	9.9987	9.46993	8.92523	8.38336	7.8558	7.34927	6.86741	6.4119	5.98314	5.58078	5.20398	4.85165	4.52251	4.21527	3.92862	3.66128	3.412
408	0.6351	0.8115	0.074	26.802	3.01679	7.33554	10.0205	11.6235	12.5123	12.9315	13.0441	12.9584	12.7464	12.4558	12.1182	11.7546	11.3787	10.9994	10.6225	10.2518	9.88947	9.53696	9.19501	8.86399	8.54401	8.23498	7.93673	7.64903	7.37158
409	0.6311	0.7915	0.0332	25.602	3.08456	7.62011	10.5821	12.4862	13.6797	14.3964	14.7934	14.9766	15.0174	14.9636	14.8474	14.6907	14.5078	14.3087	14.0999	13.8857	13.6693	13.4524	13.2364	13.0222	12.8103	12.6011	12.3947	12.1914	11.9913
410	0.6271	0.7715	0.1004	24.402	3.11503	7.58548	10.3574	11.9876	12.8539	13.2127	13.2377	13.0463	12.7182	12.3067	11.8478	11.3653	10.8753	10.3879	9.91003	9.4457	8.99742	8.56655	8.15368	7.75893	7.38208	7.02271	6.68028	6.35416	6.0437
411	0.6231	0.7515	0.1676	23.202	3.1513	7.56659	10.1646	11.5496	12.1334	12.1967	11.9295	11.4604	10.8756	10.2324	9.56855	8.90836	8.26711	7.65396	7.074	6.5296	6.02137	5.54878	5.11059	4.70517	4.33065	3.98508	3.66648	3.37295	3.10264
412	0.6191	0.7315	0.2348	22.002	3.19428	7.565	10.0043	11.1695	11.5093	11.3283	10.8323	10.1588	9.39863	8.61084	7.83271	7.08695	6.38647	5.73769	5.1428	4.60135	4.11123	3.66941	3.27236	2.91642	2.5979	2.31327	2.05921	1.83262	1.63067
413	0.6151	0.7115	0.298	20.802	3.24672	7.59462	9.90455	10.8885	11.0313	10.6603	9.99465	9.17861	8.30566	7.43451	6.60055	5.8236	5.11327	4.47258	3.90048	3.39349	2.94682	2.55507	2.21271	1.91434	1.6549	1.42971	1.23453	1.06555	0.919383
414	0.6111	0.6915	0.2308	20.398	3.23241	7.73443	10.3268	11.6325	12.0851	11.9856	11.5409	10.8929	10.1372	9.33775	8.53616	7.75876	7.02137	6.33271	5.69672	5.11419	4.58394	4.10355	3.6699	3.27954	2.92891	2.61451	2.33297	2.08112	1.856
415	0.6071	0.6715	0.1636	21.598	2.97775	7.28903	9.96542	11.505	12.2614	12.4849	12.3524	11.9885	11.4802	10.8883	10.2545	9.60738	8.9659	8.34255	7.74509	7.17808	6.64382	6.1431	5.67569	5.24068	4.83677	4.46238	4.11583	3.79537	3.49928
